id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
384,0,"[0, 0, 1, 0, 0, 0]","[1997.9431315785578, -342.6491836537069, 2.3667461549002176, 0.08789015695770394, -0.12926144641131038, -0.0004972964312588477]",8,378.4146974946769
384,1,"[1099.8322064072456, -201.42775169904294, 3.191244688488466, 0.18857901870956953, -0.1415200119021767, -0.049976756669608866]","[1997.9431315785578, -342.6491836537069, 2.3667461549002176, 0.08789015695770394, -0.12926144641131038, -0.0004972964312588477]",1,378.4146974946769
385,0,"[0, 0, 1, 0, 0, 0]","[1630.7480545370574, -44.183443590528775, 1.4269718359176904, 0.1910372204020836, 0.02948708325552881, 0.01271197033980561]",3,378.4146974946769
385,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1630.7480545370574, -44.183443590528775, 1.4269718359176904, 0.1910372204020836, 0.02948708325552881, 0.01271197033980561]",16,378.4146974946769
385,2,"[1419.7918228701215, -34.59378089592914, 1.99159159395674, 0.206291256239526, 0.23895111661736063, -0.05536037610450928]","[1630.7480545370574, -44.183443590528775, 1.4269718359176904, 0.1910372204020836, 0.02948708325552881, 0.01271197033980561]",6,378.4146974946769
386,0,"[0, 0, 1, 0, 0, 0]","[1663.4017803491358, -167.55703398284928, 1.4921817657666545, 0.14419324042280238, 0.0020879675060288465, -2.9656135457439704e-05]",3,378.4146974946769
386,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1663.4017803491358, -167.55703398284928, 1.4921817657666545, 0.14419324042280238, 0.0020879675060288465, -2.9656135457439704e-05]",3,378.4146974946769
386,2,"[1124.3644028656402, -116.76327381860509, 1.4924470372333118, 0.14417270960644138, 0.007434920652117086, -1.944946186530516e-05]","[1663.4017803491358, -167.55703398284928, 1.4921817657666545, 0.14419324042280238, 0.0020879675060288465, -2.9656135457439704e-05]",3,378.4146974946769
387,0,"[0, 0, 1, 0, 0, 0]","[1964.078507599595, -229.68284857060615, 1.525166588844698, 0.17521580903453568, -0.05277745790833333, 0.010840724661023359]",9,378.4146974946769
387,1,"[828.553914670342, -49.84730069829242, 1.9840976559519607, 0.19712637571880123, 0.18225637669531736, -0.04734961543331818]","[1964.078507599595, -229.68284857060615, 1.525166588844698, 0.17521580903453568, -0.05277745790833333, 0.010840724661023359]",1,378.4146974946769
