id_camino,id_in_seq,initial_state,current_state,goal_state,out_action,timesteps
133,0,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[0.0, 0.0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
133,1,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[0.45633343234584495, -0.1640075102941578, 2.642824209117656, 1.0129418729951567, -0.19589958375349606, -0.0423694440096781]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
133,2,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[0.9755658269980948, -0.5846821452689248, 3.7973268661026807, 1.0411903871808232, -0.4738046609762618, -0.037754746272179306]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
133,3,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[1.636271013550242, -1.1943257708359707, 5.104465203983096, 0.4210686250811011, -0.6815035965942773, -0.018791088325778627]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
133,4,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[2.460036997185433, -1.9809990652280471, 6.267816876583737, 0.7246378885548935, -0.6083467953696106, 0.01729003545328583]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
133,5,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[3.4985746080292834, -2.860450217114352, 7.3809725278631815, 0.28842061375776934, -0.6788672166756917, -0.010422006108635947]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.0]",6.306911625
133,6,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[4.708055019936766, -3.863073347712265, 8.349911202808197, 0.710364196763566, -0.5443767755493861, 0.023865694344410788]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.0]",6.306911625
133,7,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[6.1744050005794335, -4.808348478162812, 9.130490333802136, 0.5525863598560209, -0.46953605961469225, 0.01306954837840153]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
133,8,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[7.860868139108507, -5.613095313383283, 9.568028666263514, 0.8813959727353694, -0.2453629032950809, 0.03652593690237762]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",6.306911625
133,9,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[9.72494433724509, -6.090719800259401, 9.69861861956449, 0.6905252339618798, -0.1092465838216459, 0.02177876362173676]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.01745, 0.0]",6.306911625
133,10,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[11.63222725476312, -6.391062327068668, 9.694586057262118, 0.37976403832907396, -0.11693519870968484, -0.001246470151586213]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
133,11,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[13.532979748570515, -6.7262690032098496, 9.72762635542373, 0.27305047772794394, -0.1728250351512381, -0.00887092324288615]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.0]",6.306911625
133,12,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[15.439249692489808, -7.081694877675461, 9.732331356876164, 0.5889229225456836, -0.08336691877378086, 0.014218862290784283]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.01745, 0.0]",6.306911625
